# Rime user dictionary
#@/db_name	hzl_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	36939
#@/user_id	linusboyle
a 	啊	c=48 d=1.87061 t=36939
a a 	啊啊	c=1 d=2.76886e-11 t=36939
a da 	阿達	c=0 d=2.99947e-12 t=36939
a ha ha ha 	啊哈哈哈	c=1 d=0.000880518 t=36939
a la si jia 	阿拉斯加	c=4 d=0.265266 t=36939
a li 	阿里	c=1 d=0.00895987 t=36939
a man ni 	阿曼尼	c=1 d=1.05762e-12 t=36939
a qu 	阿曲	c=1 d=3.28194e-11 t=36939
a sa fei 	啊薩菲	c=1 d=1 t=29600
a shi dan dun 	阿詩丹頓	c=1 d=2.94008e-11 t=36939
a si dun 	阿斯頓	c=2 d=5.95413e-11 t=36939
ai 	愛	c=1 d=0.0333733 t=36939
ai 	艾	c=2 d=1.99501 t=29415
ai dao de 	挨刀的	c=1 d=0.408608 t=36939
ai de meng 	愛德蒙	c=1 d=0.00440507 t=36939
ai hao 	愛好	c=6 d=0.0163261 t=36939
ai hao zhe 	愛好者	c=3 d=0.000272608 t=36939
ai mu 	愛慕	c=1 d=1 t=32963
ai qing 	愛情	c=2 d=0.88692 t=36939
ai sha ni ya 	愛沙尼亞	c=1 d=1.75216e-10 t=36939
ai sheng quan 	艾生權	c=3 d=1.93305 t=30712
ai xin zao can 	愛心早餐	c=1 d=0.00245409 t=36939
ai ya 	哎呀	c=1 d=1 t=31736
ai zi 	矮子	c=1 d=0.000103597 t=36939
ai zi ji 	愛自己	c=1 d=0.293758 t=36939
an 	俺	c=1 d=1 t=28808
an 	安	c=1 d=2.0923e-10 t=36939
an 	按	c=0 d=0.00466538 t=36939
an an jing jing 	安安靜靜	c=1 d=0.00047843 t=36939
an fa shi 	案發時	c=0 d=1.45975e-10 t=36939
an fa shi de 	案發時的	c=1 d=1.46707e-09 t=36939
an fang 	安放	c=1 d=1 t=31947
an fang 	安防	c=0 d=0.1 t=31945
an fang zi ji 	安防自己	c=1 d=1 t=31946
an fen dian 	安分點	c=1 d=1.09191e-05 t=36939
an jian 	按鍵	c=2 d=5.08759e-13 t=36939
an jing 	安靜	c=1 d=1 t=34666
