# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	154004
#@/user_id	linusboyle
a 	啊	c=326 d=1.87061 t=154004
a 	錒	c=1 d=6.1057e-79 t=154004
a 	阿	c=15 d=1.8325e-08 t=154004
a a 	啊啊	c=1 d=2.76886e-11 t=154004
a da 	阿達	c=0 d=2.99947e-12 t=154004
a de 	阿德	c=2 d=3.24752e-34 t=154004
a fa 	阿伐	c=1 d=2.43e-34 t=154004
a fa fa 	啊發發	c=5 d=1 t=154004
a fei 	阿飛	c=11 d=1.60495e-07 t=154004
a gan 	阿甘	c=5 d=1.33311e-34 t=154004
a ha 	啊哈	c=1 d=2.60673e-07 t=154004
a ha ha ha 	啊哈哈哈	c=1 d=0.000880518 t=154004
a la bo 	阿拉伯	c=1 d=2.28693e-26 t=154004
a la si jia 	阿拉斯加	c=4 d=0.265266 t=154004
a le tai 	阿勒泰	c=0 d=3.63317e-61 t=154004
a le tai er na ti ou niao 	阿勒泰而那題鷗鳥	c=1 d=3.65138e-60 t=154004
a li 	阿里	c=2 d=0.00895987 t=154004
a li ba ba 	阿里巴巴	c=1 d=1.16117e-52 t=154004
a ma di si 	阿瑪迪斯	c=2 d=0.000117763 t=154004
a man ni 	阿曼尼	c=1 d=1.05762e-12 t=154004
a pi 	呵辟	c=1 d=1.75604e-36 t=154004
a qu 	阿曲	c=1 d=3.28194e-11 t=154004
a sa a 	啊撒啊	c=1 d=7.00674e-22 t=154004
a shi dan dun 	阿詩丹頓	c=1 d=2.94008e-11 t=154004
a si dun 	阿斯頓	c=2 d=5.95413e-11 t=154004
a suan fa 	啊算法	c=4 d=0.000759114 t=154004
a wei 	阿尾	c=143 d=2.64657e-09 t=154004
a wei bo zheng 	阿尾博政	c=6 d=3.38305e-15 t=154004
a xi mo fu 	阿西莫夫	c=3 d=2.54299e-49 t=154004
a xing 	啊行	c=1 d=0.138761 t=154004
ai 	哎	c=10 d=0.00688099 t=154004
ai 	愛	c=3 d=0.050709 t=154004
ai 	艾	c=0 d=8.46397e-40 t=154004
ai 	靄	c=2 d=1.72133e-07 t=154004
ai bi biao 	愛彼錶	c=0 d=1.62076e-35 t=154004
ai bin hao si 	艾賓浩斯	c=1 d=1.54733e-18 t=154004
ai dao de 	挨刀的	c=2 d=0.408608 t=154004
ai de meng 	愛德蒙	c=1 d=0.00440507 t=154004
ai er 	埃爾	c=1 d=3.2795e-61 t=154004
ai guo zhu yi 	愛國主義	c=2 d=2.09373e-17 t=154004
ai hao 	愛好	c=14 d=0.0163261 t=154004
ai hao zhe 	愛好者	c=6 d=0.000272608 t=154004
ai ji 	埃及	c=1 d=1.72843e-26 t=154004
ai kai wan xiao 	愛開玩笑	c=1 d=2.46295e-16 t=154004
ai ma 	捱罵	c=1 d=2.24318e-34 t=154004
ai qing 	愛情	c=3 d=0.88692 t=154004
ai qiu 	哀求	c=1 d=3.97693e-06 t=154004
ai sha ni ya 	愛沙尼亞	c=1 d=1.75216e-10 t=154004
ai shang 	愛上	c=1 d=2.65704e-26 t=154004
ai sheng quan 	艾生權	c=3 d=2.54583e-23 t=154004
ai xin zao can 	愛心早餐	c=1 d=0.00245409 t=154004
ai ya 	哎呀	c=2 d=0.00139481 t=154004
ai zi 	矮子	c=1 d=0.000103597 t=154004
ai zi ji 	愛自己	c=1 d=0.293758 t=154004
an 	安	c=2 d=2.0923e-10 t=154004
an 	按	c=33 d=0.00466538 t=154004
an 	暗	c=1 d=3.2938e-24 t=154004
an 	案	c=1 d=1.21738e-20 t=154004
an an jing jing 	安安靜靜	c=1 d=0.00047843 t=154004
an bang 	安邦	c=1 d=3.26103e-24 t=154004
an dan 	黯淡	c=2 d=4.84654e-09 t=154004
an de lie 	安德烈	c=1 d=2.81885e-45 t=154004
an ding 	安定	c=2 d=2.26618e-07 t=154004
an fa shi 	案發時	c=0 d=1.45975e-10 t=154004
an fa shi de 	案發時的	c=1 d=1.46707e-09 t=154004
an fen dian 	安分點	c=1 d=1.09191e-05 t=154004
an fen shou ji 	安分守己	c=1 d=6.55441e-31 t=154004
an fu 	安撫	c=1 d=1.03471e-19 t=154004
an ge 	安哥	c=1 d=2.65568e-20 t=154004
an hang 	按行	c=2 d=1.01699e-39 t=154004
an hao 	暗號	c=1 d=5.34789e-20 t=154004
an jian 	按鍵	c=2 d=5.08759e-13 t=154004
an jing 	安靜	c=1 d=6.55664e-35 t=154004
an kang 	安康	c=0 d=1.4437e-27 t=154004
an le 	暗了	c=1 d=0.000122182 t=154004
an lei bie 	按類別	c=1 d=2.72671e-07 t=154004
an li 	案例	c=5 d=3.91309e-21 t=154004
an li shuo 	按理說	c=4 d=0.00535353 t=154004
an lie 	按列	c=2 d=1.13942e-35 t=154004
an men 	暗門	c=1 d=8.76723e-12 t=154004
an mian 	安眠	c=1 d=1.21606e-66 t=154004
an mian yao 	安眠藥	c=1 d=1.19759e-33 t=154004
an mo 	按摩	c=1 d=2.61979e-07 t=154004
an mo zui xiao 	按模最小	c=1 d=1.20195e-17 t=154004
an nai bu zhu 	按耐不住	c=2 d=1.58225e-37 t=154004
an ni 	安妮	c=0 d=0.0814647 t=154004
an ni ji 	安妮記	c=1 d=0.818731 t=154004
an niu 	按鈕	c=36 d=1.65394 t=154004
an pai 	安排	c=93 d=0.498605 t=154004
an quan 	安全	c=23 d=0.0263512 t=154004
an quan fang mian 	安全方面	c=1 d=2.28935e-09 t=154004
an quan feng xian 	安全風險	c=1 d=4.47697e-17 t=154004
an quan qu 	安全區	c=1 d=8.39886e-07 t=154004
an quan xing 	安全性	c=2 d=9.64261e-14 t=154004
an sha 	暗殺	c=1 d=1.1808e-14 t=154004
an shao fang 	安紹芳	c=1 d=1.46802e-46 t=154004
an shi 	按時	c=1 d=1.55129e-48 t=154004
an shi 	暗室	c=1 d=0.000132358 t=154004
an shi 	暗示	c=1 d=9.78334e-08 t=154004
an shi ta 	暗示他	c=1 d=3.81567e-19 t=154004
an shu 	桉樹	c=1 d=3.34653e-05 t=154004
an shun xu 	按順序	c=1 d=1.04134e-06 t=154004
an wei 	安慰	c=2 d=0.00154526 t=154004
an xia 	按下	c=1 d=0.000251014 t=154004
an xian 	暗線	c=1 d=0.0424257 t=154004
an xiang 	安享	c=1 d=1.79989e-32 t=154004
an xiang 	安詳	c=1 d=3.29829e-40 t=154004
an xiang wan nian 	安享晚年	c=1 d=4.74719e-30 t=154004
an xin 	安心	c=1 d=5.7158e-38 t=154004
an xu 	按需	c=4 d=1.23729e-05 t=154004
an zao 	按早	c=1 d=1.24994e-07 t=154004
an zhao 	按照	c=153 d=0.389027 t=154004
an zhong 	暗中	c=7 d=0.0605392 t=154004
an zhong guan cha 	暗中觀察	c=1 d=4.83552e-41 t=154004
an zhuang 	安裝	c=29 d=0.0263404 t=154004
an zhuang zhuang tai 	安裝狀態	c=1 d=0.00932553 t=154004
an zhuo 	安卓	c=5 d=9.30778e-10 t=154004
an zi shu 	按字數	c=1 d=1.30632e-26 t=154004
ang 	卬	c=2 d=7.08703e-09 t=154004
ao 	凹	c=1 d=3.9768e-35 t=154004
ao 	澳	c=2 d=2.08187e-10 t=154004
ao de sai 	奧德賽	c=1 d=2.23123e-30 t=154004
ao kou 	拗口	c=1 d=0.000151489 t=154004
ao lin pi ke 	奧林匹克	c=2 d=3.52402e-42 t=154004
ao men 	澳門	c=2 d=0.0134423 t=154004
ao mi 	奧祕	c=4 d=0.250324 t=154004
ao rui te 	澳瑞特	c=1 d=4.14911e-34 t=154004
ao wo 	奧沃	c=19 d=0.814404 t=154004
ao ye 	熬夜	c=3 d=0.118245 t=154004
ao ying feng 	傲迎鋒	c=5 d=1.64989 t=154004
ao you 	遨遊	c=1 d=0.0120946 t=154004
ao yun hui 	奧運會	c=1 d=2.27793e-09 t=154004
ba 	八	c=6 d=0.272532 t=154004
ba 	吧	c=493 d=3.24804 t=154004
ba 	壩	c=0 d=1.46757e-14 t=154004
ba 	把	c=250 d=1.11954 t=154004
ba 	爸	c=2 d=0.000724521 t=154004
ba 	罷	c=3 d=0.0824965 t=154004
ba ba 	爸爸	c=1 d=1.08159e-11 t=154004
ba bei zi 	八輩子	c=1 d=1.16243e-06 t=154004
ba chu 	拔出	c=1 d=6.57606e-11 t=154004
ba chu 	罷黜	c=1 d=0.0347353 t=154004
ba dian 	八點	c=1 d=7.80235e-52 t=154004
ba dian ban 	八點半	c=2 d=3.14181e-27 t=154004
ba dong xi 	把東西	c=1 d=1.65609e-23 t=154004
ba du 	八度	c=2 d=8.6653e-30 t=154004
ba ge 	八個	c=1 d=2.90875e-32 t=154004
ba gua 	八卦	c=2 d=1.31573e-14 t=154004
ba ha mu te 	巴哈姆特	c=1 d=1.24413e-11 t=154004
ba hen 	疤痕	c=3 d=0.135245 t=154004
ba jian 	霸劍	c=3 d=0.000498005 t=154004
ba jiao 	芭蕉	c=3 d=4.41135e-12 t=154004
ba kou 	八口	c=1 d=0.251579 t=154004
ba le 	罷了	c=2 d=1.00239e-28 t=154004
ba li 	巴黎	c=1 d=0.138761 t=154004
ba ling 	霸凌	c=2 d=2.00364e-29 t=154004
ba mian 	八面	c=0 d=2.2263e-05 t=154004
ba mian lang ji 	八面狼姬	c=3 d=1.48382 t=154004
ba ni 	把你	c=1 d=1.10841e-05 t=154004
ba nian 	八年	c=1 d=0.00995182 t=154004
ba shi 	八十	c=1 d=2.08797e-14 t=154004
ba shi 	巴士	c=0 d=1.37783e-07 t=154004
ba shi ye 	把視野	c=1 d=1.92678e-10 t=154004
ba shou 	把守	c=1 d=4.68144e-13 t=154004
ba ta 	把他	c=1 d=0.0550232 t=154004
ba ta 	把它	c=4 d=5.5739e-07 t=154004
ba ta men 	把它們	c=1 d=2.87344e-06 t=154004
ba tai 	吧檯	c=3 d=8.63134e-11 t=154004
ba ti ya 	芭提雅	c=1 d=2.86749e-11 t=154004
ba wei 	八位	c=2 d=3.64997e-06 t=154004
ba wo 	把我	c=2 d=1.84137e-06 t=154004
ba wo 	把握	c=5 d=0.000193545 t=154004
ba wo men 	把我們	c=1 d=1.58187e-13 t=154004
ba yue 	八月	c=1 d=8.8641e-53 t=154004
ba yun zi 	八雲紫	c=1 d=0.860708 t=154004
ba zhou 	八週	c=1 d=1.24028e-05 t=154004
ba zi 	八字	c=0 d=2.62239e-49 t=154004
ba zi ban 	八字班	c=3 d=0.00729913 t=154004
bai 	拜	c=1 d=0.0338776 t=154004
bai 	擺	c=0 d=2.57457e-09 t=154004
bai 	白	c=3 d=0.00337959 t=154004
bai 	百	c=1 d=0.00132016 t=154004
bai bai 	拜拜	c=1 d=7.14585e-18 t=154004
bai bi 	敗筆	c=1 d=0.000572785 t=154004
