# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	211804
#@/user_id	linux
a 	啊	c=456 d=1.87061 t=211804
a 	錒	c=1 d=6.1057e-79 t=211804
a 	阿	c=18 d=1.8325e-08 t=211804
a a 	啊啊	c=1 d=2.76886e-11 t=211804
a bi 	阿比	c=0 d=0.1 t=211129
a da 	阿達	c=0 d=2.99947e-12 t=211804
a de 	阿德	c=2 d=3.24752e-34 t=211804
a fa 	阿伐	c=1 d=2.43e-34 t=211804
a fa fa 	啊發發	c=5 d=1 t=211804
a fei 	阿飛	c=12 d=1.60495e-07 t=211804
a feng 	阿峯	c=2 d=1.9802 t=207959
a gan 	阿甘	c=6 d=1.33311e-34 t=211804
a ha 	啊哈	c=2 d=2.60673e-07 t=211804
a ha ha ha 	啊哈哈哈	c=1 d=0.000880518 t=211804
a la bo 	阿拉伯	c=1 d=2.28693e-26 t=211804
a la mu tu 	阿拉木圖	c=1 d=1 t=183021
a la si jia 	阿拉斯加	c=4 d=0.265266 t=211804
a le tai 	阿勒泰	c=0 d=3.63317e-61 t=211804
a le tai er na ti ou niao 	阿勒泰而那題鷗鳥	c=1 d=3.65138e-60 t=211804
a li 	阿里	c=2 d=0.00895987 t=211804
a li ba ba 	阿里巴巴	c=2 d=4.34909e-29 t=211804
a ma di si 	阿瑪迪斯	c=2 d=0.000117763 t=211804
a man ni 	阿曼尼	c=1 d=1.05762e-12 t=211804
a mi te 	阿蜜特	c=2 d=1.00791 t=193755
a min 	阿敏	c=1 d=1 t=199789
a min 	阿民	c=1 d=1 t=199790
a pi 	呵辟	c=1 d=1.75604e-36 t=211804
a qu 	阿曲	c=1 d=3.28194e-11 t=211804
a sa a 	啊撒啊	c=1 d=7.00674e-22 t=211804
a sen na 	阿森納	c=0 d=0.1 t=184155
a shi dan dun 	阿詩丹頓	c=1 d=2.94008e-11 t=211804
a si dun 	阿斯頓	c=2 d=5.95413e-11 t=211804
a suan fa 	啊算法	c=5 d=0.000759114 t=211804
a ti 	阿嚏	c=0 d=0.1 t=202350
a wei 	阿尾	c=143 d=2.64657e-09 t=211804
a wei bo zheng 	阿尾博政	c=6 d=3.38305e-15 t=211804
a xi mo fu 	阿西莫夫	c=3 d=2.54299e-49 t=211804
a xing 	啊行	c=1 d=0.138761 t=211804
a zhe 	啊這	c=3 d=1 t=176962
a zhe 	阿者	c=1 d=1 t=170645
ai 	哎	c=11 d=0.00688099 t=211804
ai 	愛	c=8 d=0.050709 t=211804
ai 	艾	c=0 d=8.46397e-40 t=211804
ai 	靄	c=2 d=1.72133e-07 t=211804
ai ai 	唉唉	c=1 d=1 t=158777
ai bi biao 	愛彼錶	c=0 d=1.62076e-35 t=211804
ai bin hao si 	艾賓浩斯	c=1 d=1.54733e-18 t=211804
ai dao de 	挨刀的	c=2 d=0.408608 t=211804
