# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
a da 	阿達	c=0 d=2.99947e-12 t=7834
a la si jia 	阿拉斯加	c=4 d=0.265266 t=7834
a shi dan dun 	阿詩丹頓	c=1 d=2.94008e-11 t=7834
a si dun 	阿斯頓	c=2 d=5.95413e-11 t=7834
ai 	愛	c=1 d=1 t=7154
ai dao de 	挨刀的	c=1 d=1 t=7655
ai de meng 	愛德蒙	c=1 d=0.00440507 t=7834
ai hao 	愛好	c=1 d=0.00269866 t=7834
ai hao zhe 	愛好者	c=3 d=0.000272608 t=7834
ai sha ni ya 	愛沙尼亞	c=1 d=1.75216e-10 t=7834
an 	按	c=0 d=0.00466538 t=7834
an ni 	安妮	c=0 d=0.1 t=7793
an ni ji 	安妮記	c=1 d=1 t=7794
an niu 	按鈕	c=10 d=1.65394 t=7834
an pai 	安排	c=3 d=0.00124951 t=7834
an quan 	安全	c=1 d=1.44174e-10 t=7834
an shi 	暗示	c=1 d=9.78334e-08 t=7834
an zhao 	按照	c=3 d=0.389027 t=7834
an zhong 	暗中	c=3 d=0.0605392 t=7834
an zhuang 	安裝	c=2 d=0.000796726 t=7834
ao men 	澳門	c=2 d=0.0134423 t=7834
ao wo 	奧沃	c=19 d=0.814404 t=7834
ao ying feng 	傲迎鋒	c=5 d=1.64989 t=7834
ao you 	遨遊	c=1 d=0.0120946 t=7834
ba 	吧	c=6 d=0.519473 t=7834
ba 	把	c=9 d=0.162229 t=7834
ba bei zi 	八輩子	c=1 d=1.16243e-06 t=7834
ba hen 	疤痕	c=2 d=0.135245 t=7834
ba kou 	八口	c=1 d=0.251579 t=7834
ba shi ye 	把視野	c=1 d=1.92678e-10 t=7834
ba ta 	把它	c=1 d=8.72202e-10 t=7834
bai ge 	白鴿	c=1 d=1 t=7742
bai jian 	敗劍	c=1 d=0.214381 t=7834
bai ling hai xia 	白令海峽	c=2 d=0.0619181 t=7834
bai long 	白龍	c=1 d=1.40227e-07 t=7834
bai pi shu 	白皮書	c=2 d=8.92077e-11 t=7834
bai se 	白色	c=1 d=0.188247 t=7834
ban 	板	c=1 d=0.179964 t=7834
ban 	版	c=2 d=0.664695 t=7834
ban ben 	版本	c=7 d=0.334647 t=7834
ban ben yi 	版本一	c=1 d=1 t=7129
ban fa 	辦法	c=1 d=1 t=6852
